"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006979","GO:0006979","response to oxidative stress","63/1294","376/16672",4.41765845753382e-09,2.26449172533184e-05,1.93307433768085e-05,"5536/2730/5663/3717/5625/3091/1471/9688/2936/5516/3315/9124/2054/5159/11235/9588/7128/2309/5311/8013/1843/2185/847/55829/2643/5562/694/406/3939/5156/29979/79899/1861/7225/10516/4170/29920/388/10550/890/2308/11030/65018/836/9529/5598/2861/9943/5970/90441/253827/488/5074/5587/3297/154807/4217/7296/51734/4277/2878/1147/2119",63
"GO:1901653","GO:1901653","cellular response to peptide","53/1294","304/16672",1.90936297640552e-08,4.89369730852734e-05,4.17748520679881e-05,"5577/2844/10580/3717/688/858/857/23189/10014/5573/59345/54206/2309/8013/5290/3164/6776/5908/529/55829/5468/5791/5562/51763/26191/23175/9882/3480/185/890/5295/1979/2308/55022/51094/3625/28999/252983/11031/6774/3667/2783/5970/6777/3952/57085/5781/3297/23545/8660/5167/4641/54741",53
"GO:1901652","GO:1901652","response to peptide","66/1294","425/16672",4.12321978273127e-08,7.04520820209349e-05,6.01411390765399e-05,"5577/2844/10580/3717/4792/688/858/857/23189/10014/5573/1432/55914/59345/22937/54206/7128/2309/8013/847/5290/3164/6776/5908/529/55829/5468/5791/5562/51763/694/26191/6272/23175/9882/3480/185/890/5295/2796/1979/133/2308/55022/7079/51094/3625/28999/252983/11031/6774/3667/2783/5970/6777/488/3952/57085/5781/3297/23545/8660/5167/4641/2475/54741",66
"GO:0007015","GO:0007015","actin filament organization","54/1294","323/16672",6.07104980564599e-08,7.78005032593533e-05,6.64140895843957e-05,"6093/9948/285527/55604/10580/3717/28984/23189/4739/8936/6722/10096/2185/7408/11034/81/10487/51763/10810/23075/9645/9475/64780/5879/10097/85464/375/5295/1730/2934/2059/123720/7791/10092/10602/25802/171024/27289/57175/1072/5074/91663/359845/4771/2316/2764/4641/89848/1902/51734/2475/2013/283/10093",54
"GO:0071375","GO:0071375","cellular response to peptide hormone stimulus","49/1294","287/16672",1.27601033286568e-07,0.000130816579325389,0.000111671051657319,"5577/2844/10580/3717/858/857/23189/10014/5573/59345/54206/8013/5290/3164/6776/5908/529/55829/5468/5791/5562/51763/23175/9882/3480/185/890/5295/1979/2308/55022/51094/3625/252983/11031/6774/3667/2783/5970/6777/3952/57085/5781/3297/23545/8660/5167/4641/54741",49
"GO:0048514","GO:0048514","blood vessel morphogenesis","71/1294","487/16672",1.65462941023567e-07,0.0001413605059478,0.000120671832602626,"79602/1890/639/51564/28996/6093/6095/3091/688/28984/857/3315/10014/1432/9444/6722/5159/11235/8828/7128/5311/2185/5290/4327/3164/64344/6237/14/6303/90627/694/9475/5156/1284/9394/10413/7057/10427/94/4240/3491/388/92140/133/7342/23576/4643/7498/861/7855/7048/25976/55273/5598/290/1285/25932/10855/57493/3952/8322/8325/302/147372/9241/5587/7026/1282/55742/2013/283",71
"GO:0034329","GO:0034329","cell junction assembly","37/1294","192/16672",2.04738613660935e-07,0.000149927161946565,0.000127984724359174,"928/7414/2824/3909/3918/51564/81671/6093/9948/55679/10979/60/10580/3551/857/6722/2185/7408/5908/81/9475/3915/5879/7094/7057/94/8394/92140/123720/54751/7855/1613/57493/5339/71/2316/4641",37
"GO:1902532","GO:1902532","negative regulation of intracellular signal transduction","66/1294","447/16672",2.82700612360926e-07,0.000181140417370263,0.000154629795471628,"10048/55885/9709/8531/51564/6095/6717/9462/11213/3091/4792/5516/857/3315/23189/1845/10114/55914/604/54206/7128/5311/1843/599/55829/5562/51763/406/26191/51347/55654/10253/10010/4609/7057/5495/1847/7009/3480/126374/4170/10318/2308/23171/7498/65018/51094/84447/467/7417/9529/5598/3622/55031/5970/5187/91663/4582/64853/4771/11261/7088/200734/801/805/54741",66
"GO:0034599","GO:0034599","cellular response to oxidative stress","40/1294","220/16672",3.36195878086655e-07,0.000191482230119133,0.000163458042714178,"5536/3717/5625/3091/1471/9688/3315/11235/7128/2309/5311/8013/55829/2643/5562/406/5156/29979/79899/7225/10516/4170/29920/388/10550/890/2308/65018/9529/5598/2861/5970/90441/488/5074/5587/3297/154807/4217/2119",40
"GO:0034330","GO:0034330","cell junction organization","42/1294","246/16672",9.96085677090363e-07,0.00051059351807652,0.000435866122069962,"928/7414/2824/3909/3918/51564/81671/6093/9948/55679/10979/60/10580/3551/857/6722/2185/11228/7408/5908/5819/81/9475/3915/5879/7094/7057/94/8394/92140/123720/54751/7855/1613/57493/5339/1002/71/4771/2316/4641/283",42
"GO:0043434","GO:0043434","response to peptide hormone","58/1294","390/16672",1.17088541382223e-06,0.000545632602841161,0.000465777097153973,"5577/2844/10580/3717/858/857/23189/10014/5573/59345/22937/54206/8013/847/5290/3164/6776/5908/529/55829/5468/5791/5562/51763/694/6272/23175/9882/3480/185/890/5295/2796/1979/133/2308/55022/7079/51094/3625/252983/11031/6774/3667/2783/5970/6777/488/3952/57085/5781/3297/23545/8660/5167/4641/2475/54741",58
"GO:0031589","GO:0031589","cell-substrate adhesion","48/1294","301/16672",1.33904745138347e-06,0.000571996436315972,0.000488282478543954,"5310/7414/2824/6093/10979/8516/55604/50509/3912/10580/3717/23189/11149/6722/604/4811/2185/81/9475/3915/5879/7057/8499/94/10516/3491/8515/8394/5295/80005/6251/6695/123720/1896/7791/1398/1613/5881/10855/79834/8322/91663/1435/4771/2316/55742/2013/3672",48
"GO:0042326","GO:0042326","negative regulation of phosphorylation","60/1294","414/16672",1.82624038709627e-06,0.000720100632635036,0.000614711035559448,"5577/10048/5536/55885/5663/11213/4616/5611/857/3315/51422/1845/5573/10114/868/54206/7128/1843/3624/51763/26191/51347/79899/64780/10253/4609/1847/5925/3480/9711/10318/2308/23171/55022/84959/7498/65018/55450/467/1353/5598/6774/2167/23141/5187/91663/9241/7026/8660/64853/4771/11261/2764/104/5167/200734/801/805/2475/1756",60
"GO:0006470","GO:0006470","protein dephosphorylation","43/1294","262/16672",2.18852345553772e-06,0.000741330882000233,0.000632834153330794,"9108/5536/4659/6093/26469/9891/8555/3717/55313/3551/5516/1845/5159/9829/1843/5782/10776/5791/23075/26191/9475/5495/1847/85464/5793/84959/138639/54935/65018/64419/26012/94274/5780/5499/57546/23141/5781/8073/160760/801/805/5500/3672",43
"GO:0036473","GO:0036473","cell death in response to oxidative stress","18/1294","67/16672",2.2227820491595e-06,0.000741330882000233,0.000632834153330794,"3717/5625/3091/9688/3315/11235/2309/8013/29979/4170/10550/65018/9529/5598/2861/90441/5074/4217",18
"GO:0008154","GO:0008154","actin polymerization or depolymerization","34/1294","187/16672",2.50922942532267e-06,0.000741330882000233,0.000632834153330794,"9948/55604/3717/23189/8936/10096/2185/7408/11034/10487/10810/23075/9645/64780/5879/10097/85464/375/2934/2059/123720/10092/10602/25802/57175/1072/91663/2764/4641/89848/51734/2475/283/10093",34
"GO:0031579","GO:0031579","membrane raft organization","9/1294","18/16672",2.54007860083174e-06,0.000741330882000233,0.000632834153330794,"11252/858/857/2319/4864/2934/91663/302/2013",9
"GO:0032970","GO:0032970","regulation of actin filament-based process","49/1294","317/16672",2.60319076785099e-06,0.000741330882000233,0.000632834153330794,"2824/1265/6093/9948/6717/55604/28984/857/23189/8936/5159/10096/2185/7408/11034/54795/51763/23075/9475/5156/5879/10097/85464/396/27/375/5295/2934/2059/123720/6781/10092/10602/476/25802/1398/1613/11214/171024/57175/488/91663/4771/2764/4641/89848/1902/2475/10093",49
"GO:0001525","GO:0001525","angiogenesis","59/1294","411/16672",3.02641494890805e-06,0.00081649489621593,0.000696997614549073,"79602/1890/51564/28996/6093/6095/3091/688/28984/857/3315/10014/1432/6722/5159/11235/8828/7128/2185/5290/4327/3164/64344/6237/14/6303/90627/694/9475/5156/1284/9394/7057/94/4240/3491/388/92140/133/7342/23576/861/7855/7048/55273/5598/290/1285/25932/10855/3952/8325/302/147372/5587/1282/55742/2013/283",59
"GO:0042542","GO:0042542","response to hydrogen peroxide","25/1294","119/16672",3.79637438273037e-06,0.000973010754293794,0.000830606753105798,"5536/1471/9688/5516/5159/11235/7128/2309/8013/1843/2185/847/5562/3939/7225/388/2308/65018/836/5598/2861/5970/5074/3297/4217",25
"GO:0071900","GO:0071900","regulation of protein serine/threonine kinase activity","63/1294","459/16672",6.31915823578197e-06,0.00154247643412468,0.00131672886146093,"5577/5310/8491/5606/7251/5663/11213/3717/4616/28984/857/3315/51422/23560/1326/1845/5573/54757/10114/2965/1432/896/5159/11235/2043/7128/5311/1843/2185/3306/5894/5562/51763/26191/51347/29969/10253/7057/1847/3480/5899/890/6868/2180/7855/57018/5598/1398/5604/11214/8322/8325/5781/7026/64853/4217/1902/200734/801/805/4215/3672/81669",63
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","53/1294","367/16672",8.00823977209648e-06,0.00186591986689848,0.00159283505897632,"8837/2730/23604/9709/8531/5663/55437/10059/3717/3091/8406/56917/857/3315/5414/1075/1491/7128/3624/599/10197/55829/5894/10955/29979/64114/10413/7057/658/7009/4170/2934/138151/65018/84447/467/3625/3148/7417/64112/9529/5598/1613/3622/2668/55031/5499/5970/9241/4582/57591/7027/54978",53
"GO:0001933","GO:0001933","negative regulation of protein phosphorylation","54/1294","379/16672",9.8089091388095e-06,0.00218610731502337,0.00186616179817076,"5577/10048/5536/55885/5663/11213/4616/5611/857/3315/51422/1845/5573/10114/868/54206/7128/1843/51763/26191/51347/79899/64780/10253/4609/1847/5925/3480/10318/2308/23171/55022/84959/7498/65018/55450/467/5598/2167/5187/91663/9241/7026/64853/4771/11261/2764/104/5167/200734/801/805/2475/1756",54
"GO:0046323","GO:0046323","glucose import","18/1294","74/16672",1.0238404344774e-05,0.00218675252797131,0.00186671258163269,"79602/8218/10580/51422/1432/10776/55829/5562/6272/5295/114134/55022/3667/3952/5781/8660/81031/5167",18
"GO:0032869","GO:0032869","cellular response to insulin stimulus","32/1294","183/16672",1.1363332958178e-05,0.00232993778974482,0.00198894210977457,"2844/10580/858/23189/10014/54206/5290/529/55829/5468/5791/5562/51763/23175/9882/3480/5295/1979/2308/55022/51094/3625/252983/11031/3667/5970/3952/5781/23545/8660/5167/4641",32
"GO:0007265","GO:0007265","Ras protein signal transduction","46/1294","307/16672",1.2028060528946e-05,0.00237137839505297,0.00202431771736148,"9855/9265/6093/10235/9462/6655/5516/23189/8036/9828/1432/8936/5159/604/6237/5908/5894/22800/9475/10253/5879/9411/121512/5925/396/388/5899/185/890/10146/2768/53358/2059/10602/1398/11214/1072/5587/1435/23365/1902/6453/4893/1147/64283/115557",46
"GO:0070301","GO:0070301","cellular response to hydrogen peroxide","18/1294","76/16672",1.52115090630402e-05,0.00288793316507941,0.00246527263840383,"5536/1471/9688/11235/7128/2309/8013/5562/7225/388/2308/65018/5598/2861/5970/5074/3297/4217",18
"GO:0070482","GO:0070482","response to oxygen levels","45/1294","301/16672",1.5792229035228e-05,0.00289110592980639,0.00246798105637004,"28996/6095/3091/1471/28984/857/9124/6722/5159/22937/2309/2185/847/3709/64344/81/5894/5468/5562/3939/29979/7225/7057/94/7009/126374/890/133/2308/6868/6921/65018/6781/7048/836/10370/4204/9915/3952/57085/18/3297/1902/2475/283",45
"GO:2001234","GO:2001234","negative regulation of apoptotic signaling pathway","34/1294","204/16672",1.76537701135667e-05,0.00306392667553582,0.00261550879729807,"8837/2730/9709/8531/5663/55437/3091/56917/3315/1491/7128/599/10197/55829/5894/64114/10413/7057/7009/4170/65018/84447/3148/7417/9529/5598/3622/2668/55031/5970/9241/4582/57591/54978",34
"GO:0009100","GO:0009100","glycoprotein metabolic process","54/1294","387/16672",1.79316816750048e-05,0.00306392667553582,0.00261550879729807,"6646/1301/5663/3091/1471/54928/51809/4121/64689/66008/80267/23169/85365/9469/9953/11070/79644/53947/117248/4245/55858/9445/11173/9394/7057/26035/658/4864/54507/10318/56548/26229/11096/286148/30815/84447/8707/285203/201595/25976/5806/55568/29071/10855/51301/5074/79147/4582/11261/2526/170384/337876/51465/8705",54
"GO:0000302","GO:0000302","response to reactive oxygen species","34/1294","205/16672",1.96182625467299e-05,0.00324397463917863,0.00276920602399852,"5536/1471/9688/2936/5516/5159/11235/9588/7128/2309/5311/8013/1843/2185/847/2643/5562/3939/5156/7225/10516/388/890/2308/65018/836/5598/2861/5970/5074/3297/4217/7296/2878",34
"GO:0008631","GO:0008631","intrinsic apoptotic signaling pathway in response to oxidative stress","13/1294","45/16672",2.42753239598848e-05,0.00388860345682405,0.00331949084543557,"3717/5625/3091/3315/11235/29979/4170/10550/65018/9529/5598/90441/4217",13
"GO:0071417","GO:0071417","cellular response to organonitrogen compound","61/1294","462/16672",2.91858152877773e-05,0.0045335299747014,0.00387002979748932,"5577/2844/2730/10580/3717/688/858/857/23189/10014/5573/59345/54206/2309/8013/5290/3709/3164/6776/5908/529/55829/5468/5791/5562/51763/26191/23175/9882/3480/185/890/5295/1979/2308/55022/6781/51094/3625/28999/23514/26012/252983/11031/6774/3667/2783/5970/6777/3952/57085/5781/3297/23545/8660/1282/5167/4641/1290/54741/65010",61
"GO:0032868","GO:0032868","response to insulin","37/1294","236/16672",3.10090002251092e-05,0.00467506279864441,0.00399084872866189,"2844/10580/858/23189/10014/22937/54206/847/5290/529/55829/5468/5791/5562/51763/6272/23175/9882/3480/5295/1979/133/2308/55022/51094/3625/252983/11031/3667/5970/3952/5781/23545/8660/5167/4641/2475",37
"GO:0001765","GO:0001765","membrane raft assembly","6/1294","10/16672",3.45501702059744e-05,0.00506011921359499,0.0043195506028943,"11252/858/857/2319/302/2013",6
"GO:0032956","GO:0032956","regulation of actin cytoskeleton organization","42/1294","283/16672",3.56929390529836e-05,0.00508227793293316,0.00433846630535827,"2824/6093/9948/55604/28984/23189/8936/5159/10096/2185/7408/11034/51763/23075/9475/5156/5879/10097/85464/396/27/375/5295/2934/2059/123720/10092/10602/25802/1398/1613/11214/171024/57175/91663/4771/2764/4641/89848/1902/2475/10093",42
"GO:0035329","GO:0035329","hippo signaling","11/1294","35/16672",4.30932550651884e-05,0.00576450541798028,0.00492084707939791,"7005/51421/55233/9414/10413/126374/836/4771/7003/79633/7004",11
"GO:2000114","GO:2000114","regulation of establishment of cell polarity","8/1294","19/16672",4.48125670296791e-05,0.00576450541798028,0.00492084707939791,"6093/23189/2185/5908/2319/9475/2934/10193",8
"GO:0061448","GO:0061448","connective tissue development","36/1294","231/16672",4.49065829545722e-05,0.00576450541798028,0.00492084707939791,"5310/1301/5019/3091/54928/1311/59/7704/1432/6722/5159/4209/5290/54795/23111/6660/11173/658/94/3491/151449/114789/6781/861/91461/2487/7048/91252/8313/5970/3952/285590/64764/359845/9241/1435",36
"GO:0008643","GO:0008643","carbohydrate transport","31/1294","187/16672",4.52892832332812e-05,0.00576450541798028,0.00492084707939791,"79602/8218/81929/10762/10580/9688/51422/1432/23169/8013/10776/11046/55829/5562/51763/6272/55032/5295/114134/55022/50651/28999/252983/3667/3952/5781/55343/8660/81031/5167/65010",31
"GO:0001666","GO:0001666","response to hypoxia","41/1294","277/16672",4.68190977566554e-05,0.00576450541798028,0.00492084707939791,"28996/6095/3091/1471/28984/857/9124/6722/22937/2309/2185/847/3709/64344/81/5894/5562/3939/29979/7225/7057/94/7009/126374/890/133/6868/6921/65018/6781/7048/836/10370/4204/9915/3952/57085/18/3297/2475/283",41
"GO:0051051","GO:0051051","negative regulation of transport","57/1294","430/16672",4.72316089651135e-05,0.00576450541798028,0.00492084707939791,"5310/2824/4129/6717/9727/11252/4792/28984/84079/857/5311/9525/2185/3624/5908/7376/80762/55829/5562/51763/26191/29979/29969/9882/5879/7057/5495/7009/10550/9711/55022/285381/80223/6781/91461/3625/5598/8313/3667/9943/257364/3952/5781/55432/302/18/5587/8660/11261/307/5167/801/805/2475/51465/6311/54978",57
"GO:0006112","GO:0006112","energy reserve metabolic process","19/1294","90/16672",5.00540721641648e-05,0.00596691102124439,0.00509362981606936,"5255/10580/5834/51422/9945/55829/51763/4609/55022/3667/7360/5499/3952/8660/5167/801/805/2475/5500",19
"GO:0009101","GO:0009101","glycoprotein biosynthetic process","48/1294","345/16672",5.54512530749367e-05,0.00646007098323012,0.00551461385245243,"6646/5663/51809/4121/64689/66008/80267/23169/85365/9469/9953/11070/79644/53947/117248/4245/55858/9445/11173/9394/7057/26035/658/4864/54507/10318/56548/26229/11096/286148/30815/84447/8707/285203/201595/25976/55568/29071/51301/5074/79147/4582/11261/2526/170384/337876/51465/8705",48
"GO:0007009","GO:0007009","plasma membrane organization","39/1294","261/16672",5.74701863525137e-05,0.00654649278317745,0.00558838747759999,"6093/8417/10580/51100/11252/3551/858/857/2054/57088/53947/51763/2319/27183/92154/9475/64114/5879/8394/85409/5295/196383/55022/123720/115548/11079/91461/783/11031/129303/3799/9788/257364/488/91663/302/254887/79633/2013",39
"GO:0046324","GO:0046324","regulation of glucose import","15/1294","62/16672",5.90134620785673e-05,0.00657615231771165,0.00561370622106646,"79602/8218/10580/51422/1432/10776/55829/5562/5295/55022/3667/3952/5781/8660/5167",15
"GO:0033674","GO:0033674","positive regulation of kinase activity","62/1294","489/16672",8.38908767180572e-05,0.00908334371449478,0.00775396016616112,"5577/5310/8491/5606/5663/55437/3717/4616/28984/51422/1326/5573/54757/23531/1432/896/5159/11235/2043/5311/2185/5290/9217/3306/5894/5562/5156/51347/29969/10253/5879/7057/1847/3491/5899/6868/2180/143384/65018/7855/7048/57018/51704/1398/5604/3667/11214/90441/3952/8322/8325/5781/1435/4217/1902/801/805/4215/2013/3672/283/81669",62
"GO:0030433","GO:0030433","ER-associated ubiquitin-dependent protein catabolic process","16/1294","71/16672",8.50566715364318e-05,0.00908334371449478,0.00775396016616112,"9709/5705/9097/857/57003/550/80267/55829/29979/1861/79139/84447/201595/55432/55666/51465",16
"GO:0036293","GO:0036293","response to decreased oxygen levels","41/1294","285/16672",8.98024771673352e-05,0.00939443873387266,0.0080195251897876,"28996/6095/3091/1471/28984/857/9124/6722/22937/2309/2185/847/3709/64344/81/5894/5562/3939/29979/7225/7057/94/7009/126374/890/133/6868/6921/65018/6781/7048/836/10370/4204/9915/3952/57085/18/3297/2475/283",41
"GO:0097191","GO:0097191","extrinsic apoptotic signaling pathway","34/1294","221/16672",9.37973840040552e-05,0.00960058776912885,0.00819550349226208,"8837/2730/7133/55437/3717/8406/857/7128/2309/3624/599/10197/5894/6272/91/64114/10413/7057/658/4170/5295/9531/3570/467/3148/836/64112/5598/27018/1613/2668/5499/5970/10193",34
"GO:0010827","GO:0010827","regulation of glucose transport","20/1294","102/16672",9.62757346265473e-05,0.00960058776912885,0.00819550349226208,"79602/8218/81929/10762/10580/9688/51422/1432/8013/10776/55829/5562/51763/5295/55022/3667/3952/5781/8660/5167",20
"GO:0016311","GO:0016311","dephosphorylation","56/1294","432/16672",0.000101091027488429,0.00960058776912885,0.00819550349226208,"9108/5536/4659/6093/3632/26469/9891/22978/8555/3717/3705/55313/54928/3551/5516/1845/5159/9829/1843/5782/10776/5791/51763/23075/26191/9475/23175/5495/1847/85464/3613/493911/5793/84959/138639/54935/65018/476/64419/26012/94274/5780/5499/57546/23141/5781/8073/11261/160760/131870/801/805/23381/22908/5500/3672",56
"GO:0044320","GO:0044320","cellular response to leptin stimulus","7/1294","16/16672",0.000102176206561708,0.00960058776912885,0.00819550349226208,"8013/890/55022/51094/3625/6774/3952",7
"GO:0061298","GO:0061298","retina vasculature development in camera-type eye","7/1294","16/16672",0.000102176206561708,0.00960058776912885,0.00819550349226208,"3091/5159/5156/94/25932/8322/1282",7
"GO:0048013","GO:0048013","ephrin receptor signaling pathway","18/1294","87/16672",0.000103195295274944,0.00960058776912885,0.00819550349226208,"6093/60/10627/2051/28964/10096/2043/9475/5879/10097/10092/1398/5781/71/160/6453/64283/10093",18
"GO:0016050","GO:0016050","vesicle organization","45/1294","325/16672",0.000104883518351778,0.00960058776912885,0.00819550349226208,"23637/23216/8907/7251/8417/27131/9117/10175/9218/8406/57617/84079/8775/858/857/1075/2054/1294/64689/8934/23673/9525/9217/5819/27183/6272/8676/10228/9882/10113/10427/375/7110/85409/2890/137492/65018/7109/125058/83547/3799/257364/3267/302/23243",45
"GO:0030168","GO:0030168","platelet activation","27/1294","161/16672",0.000112016830958627,0.0100736539560337,0.00859933455761795,"928/7414/60/10627/160851/3315/6722/5290/3709/5894/5156/5879/7094/7225/388/5295/2768/84959/10630/8323/29071/114897/5781/18/71/2316/5336",27
"GO:0003012","GO:0003012","muscle system process","51/1294","385/16672",0.000118217294270182,0.0104479629384302,0.0089188619288774,"8837/8735/7414/6093/4205/29995/6717/4637/10580/10627/1760/857/59/6722/54206/103910/8013/5290/800/54795/9475/6332/7094/7170/80005/2934/23171/6781/219931/10611/476/25802/28999/783/7171/1613/2668/147/11214/488/3952/18/3768/309/7169/801/805/2475/1756/1147/3672",51
"GO:0034614","GO:0034614","cellular response to reactive oxygen species","23/1294","128/16672",0.000122129821394603,0.010610804482521,0.00905787096409216,"5536/1471/9688/11235/7128/2309/5311/8013/2643/5562/5156/7225/10516/388/890/2308/65018/5598/2861/5970/5074/3297/4217",23
"GO:0005979","GO:0005979","regulation of glycogen biosynthetic process","9/1294","27/16672",0.000129007947259752,0.0108408973385818,0.00925428881378413,"10580/55829/51763/3667/5499/8660/5167/2475/5500",9
"GO:0010962","GO:0010962","regulation of glucan biosynthetic process","9/1294","27/16672",0.000129007947259752,0.0108408973385818,0.00925428881378413,"10580/55829/51763/3667/5499/8660/5167/2475/5500",9
"GO:0033673","GO:0033673","negative regulation of kinase activity","36/1294","244/16672",0.000141427298065144,0.0116118584559884,0.00991241669949763,"5577/5663/11213/4616/5611/857/3315/51422/1845/5573/10114/868/54206/7128/1843/51763/26191/51347/10253/1847/5925/3480/9711/84959/55450/1353/5598/2167/7026/8660/64853/4771/11261/2764/104/200734",36
"GO:0045860","GO:0045860","positive regulation of protein kinase activity","58/1294","458/16672",0.000145199449276181,0.0116118584559884,0.00991241669949763,"5577/5310/8491/5606/5663/55437/3717/4616/28984/51422/1326/5573/54757/23531/1432/896/5159/11235/2043/5311/2185/5290/9217/3306/5894/5562/51347/29969/10253/7057/1847/3491/5899/6868/2180/143384/65018/7855/7048/57018/51704/1398/5604/11214/3952/8322/8325/5781/1435/4217/1902/801/805/4215/2013/3672/283/81669",58
"GO:0031032","GO:0031032","actomyosin structure organization","26/1294","155/16672",0.000148244638449482,0.0116118584559884,0.00991241669949763,"8837/1265/6093/4205/9948/55604/10580/28984/5573/6722/5159/2185/23363/51763/9475/5156/5879/5295/7791/25802/11214/51778/71/4771/1902/2475",26
"GO:0030198","GO:0030198","extracellular matrix organization","45/1294","330/16672",0.000149951990323136,0.0116118584559884,0.00991241669949763,"823/23187/2824/3909/3918/1301/8516/50509/1286/9509/3912/1471/28984/4324/83716/1311/10049/8985/1294/4811/4327/1284/3915/4316/7057/2201/10516/5045/3491/8515/54507/2934/11096/4643/323/10653/1285/10855/285590/302/1282/3908/1290/3672/342371",45
"GO:0032878","GO:0032878","regulation of establishment or maintenance of cell polarity","8/1294","22/16672",0.000153568420902172,0.0116118584559884,0.00991241669949763,"6093/23189/2185/5908/2319/9475/2934/10193",8
"GO:0034446","GO:0034446","substrate adhesion-dependent cell spreading","17/1294","82/16672",0.000155131644163323,0.0116118584559884,0.00991241669949763,"10979/8516/55604/3912/23189/11149/81/3915/5879/80005/1398/5881/79834/8322/91663/2316/55742",17
"GO:2000377","GO:2000377","regulation of reactive oxygen species metabolic process","25/1294","147/16672",0.000157706438150346,0.0116118584559884,0.00991241669949763,"3717/3091/857/1432/5159/2309/5311/2185/55829/2643/5879/7057/10516/185/2308/55022/23576/7498/65018/7048/5806/6774/3952/10193/2475",25
"GO:0031329","GO:0031329","regulation of cellular catabolic process","49/1294","370/16672",0.000160506976794859,0.0116118584559884,0.00991241669949763,"5976/5310/51099/9604/7133/11345/9709/5663/5705/5714/3091/1471/9097/5713/857/152503/1075/1374/7128/2185/79016/10197/5562/29979/79899/255488/55212/5045/5686/7110/85409/154214/2768/678/9337/7079/65018/9529/5598/3667/5499/257364/57104/302/3297/8660/340719/2475/5500",49
"GO:0030099","GO:0030099","myeloid cell differentiation","45/1294","331/16672",0.000160835339519152,0.0116118584559884,0.00991241669949763,"9855/9846/28996/865/10272/5663/28962/3717/3091/4792/7704/4891/1432/6722/604/2309/2185/3624/55509/80762/5468/79577/91/4609/5925/5295/84959/861/139716/7048/54861/3148/836/51621/84522/5293/6777/3952/56975/5781/169200/10193/302/1435/2475",45
