"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043405","GO:0043405","regulation of MAP kinase activity","41/1294","318/16672",0.000910853030799809,0.0293649851313196,0.025067302542435,"8491/5606/7251/5663/11213/3717/4616/857/1326/1845/10114/1432/5159/11235/2043/1843/2185/5894/5562/51763/26191/51347/29969/10253/7057/1847/3480/7855/5598/1398/5604/11214/8322/8325/5781/64853/4217/1902/200734/4215/3672",41
"GO:0044236","GO:0044236","multicellular organism metabolic process","21/1294","129/16672",0.000924745217962517,0.0296265249204741,0.0252905649412512,"1301/9697/50509/1286/9509/3091/1471/28984/4324/5159/1294/54206/4327/5468/1284/4316/5045/25976/1285/1282/1290",21
"GO:2001242","GO:2001242","regulation of intrinsic apoptotic signaling pathway","23/1294","147/16672",0.000950853045268291,0.0299424067462817,0.0255602162031117,"23604/9709/8531/10059/3091/857/3315/5414/599/55829/10955/29979/7009/4170/138151/65018/84447/7417/9529/5598/3622/55031/4582",23
"GO:0006936","GO:0006936","muscle contraction","41/1294","319/16672",0.000968949784300142,0.0299424067462817,0.0255602162031117,"8735/7414/6093/6717/4637/10580/10627/1760/857/59/6722/103910/5290/800/54795/9475/6332/7094/7170/80005/23171/6781/219931/476/25802/783/7171/1613/2668/147/488/18/3768/309/7169/801/805/2475/1756/1147/3672",41
"GO:0001570","GO:0001570","vasculogenesis","14/1294","71/16672",0.000975360870198934,0.0299424067462817,0.0255602162031117,"51564/857/9444/5159/10413/133/4643/7498/7048/25976/55273/57493/8322/2013",14
"GO:0090130","GO:0090130","tissue migration","32/1294","231/16672",0.00097945075484674,0.0299424067462817,0.0255602162031117,"51564/3091/28984/9688/3315/59/10014/6722/11235/8828/2185/5290/3164/6776/14/90627/9475/7057/94/388/5793/80005/6781/51094/7048/57175/5781/147372/5587/7026/340719/2013",32
"GO:0034976","GO:0034976","response to endoplasmic reticulum stress","35/1294","260/16672",0.000980861245304341,0.0299424067462817,0.0255602162031117,"9709/55062/5705/9097/8406/5611/5516/857/57003/550/80267/1491/9217/116138/55829/10955/29979/1861/79139/7094/7057/10113/121506/7009/5295/51061/84447/467/201595/488/55432/64764/55666/4217/51465",35
"GO:0030970","GO:0030970","retrograde protein transport, ER to cytosol","8/1294","28/16672",0.000981335219152423,0.0299424067462817,0.0255602162031117,"9709/550/55829/79139/84447/55432/55666/51465",8
"GO:0046320","GO:0046320","regulation of fatty acid oxidation","8/1294","28/16672",0.000981335219152423,0.0299424067462817,0.0255602162031117,"23417/51422/1374/8013/5468/3667/8660/2475",8
"GO:1903513","GO:1903513","endoplasmic reticulum to cytosol transport","8/1294","28/16672",0.000981335219152423,0.0299424067462817,0.0255602162031117,"9709/550/55829/79139/84447/55432/55666/51465",8
"GO:0070085","GO:0070085","glycosylation","37/1294","280/16672",0.00100967018071394,0.0306246706884004,0.0261426280985852,"5663/51809/4121/64689/66008/80267/85365/11070/79644/53947/117248/4245/55858/11173/7057/4864/54507/26229/11096/286148/30815/84447/8707/285203/201595/25976/55568/29071/51301/79147/55343/4582/11261/2526/170384/51465/8705",37
"GO:0010631","GO:0010631","epithelial cell migration","31/1294","222/16672",0.00102107036757849,0.0307882747306314,0.026282288037299,"51564/3091/28984/9688/3315/10014/6722/11235/8828/2185/5290/3164/6776/14/90627/9475/7057/94/388/5793/80005/6781/51094/7048/57175/5781/147372/5587/7026/340719/2013",31
"GO:1901342","GO:1901342","regulation of vasculature development","32/1294","232/16672",0.00105378575601332,0.0314488737928348,0.026846205794364,"51564/28996/6093/3091/28984/3315/10014/11235/1491/7128/2185/6237/90627/694/9475/1284/7057/94/388/92140/133/23576/7498/861/7048/55273/5598/1285/3952/147372/5587/2013",32
"GO:0006486","GO:0006486","protein glycosylation","36/1294","271/16672",0.00106611338354206,0.0314488737928348,0.026846205794364,"5663/51809/4121/64689/66008/80267/85365/11070/79644/53947/117248/4245/55858/11173/7057/4864/54507/26229/11096/286148/30815/84447/8707/285203/201595/25976/55568/29071/51301/79147/4582/11261/2526/170384/51465/8705",36
"GO:0043413","GO:0043413","macromolecule glycosylation","36/1294","271/16672",0.00106611338354206,0.0314488737928348,0.026846205794364,"5663/51809/4121/64689/66008/80267/85365/11070/79644/53947/117248/4245/55858/11173/7057/4864/54507/26229/11096/286148/30815/84447/8707/285203/201595/25976/55568/29071/51301/79147/4582/11261/2526/170384/51465/8705",36
"GO:0010594","GO:0010594","regulation of endothelial cell migration","19/1294","113/16672",0.00106843065333447,0.0314488737928348,0.026846205794364,"51564/28984/3315/10014/11235/8828/2185/6776/14/90627/9475/7057/94/388/6781/147372/5587/7026/2013",19
"GO:0035384","GO:0035384","thioester biosynthetic process","13/1294","64/16672",0.00109661440941676,0.0314488737928348,0.026846205794364,"51660/64834/23417/2639/10965/23597/1737/2180/84532/9200/57546/641371/201562",13
"GO:0061035","GO:0061035","regulation of cartilage development","13/1294","64/16672",0.00109661440941676,0.0314488737928348,0.026846205794364,"7704/6660/11173/658/94/3491/91461/2487/8313/5970/3952/359845/9241",13
"GO:0071616","GO:0071616","acyl-CoA biosynthetic process","13/1294","64/16672",0.00109661440941676,0.0314488737928348,0.026846205794364,"51660/64834/23417/2639/10965/23597/1737/2180/84532/9200/57546/641371/201562",13
"GO:0045017","GO:0045017","glycerolipid biosynthetic process","29/1294","204/16672",0.00110105337790674,0.0314488737928348,0.026846205794364,"9108/27006/8895/54675/8760/10423/5290/7376/51763/23175/84803/8394/375/5295/23171/64419/5277/3667/10555/5293/253558/5781/5833/8660/84188/5336/22908/283/23761",29
"GO:0036503","GO:0036503","ERAD pathway","16/1294","88/16672",0.00110257326140086,0.0314488737928348,0.026846205794364,"9709/5705/9097/857/57003/550/80267/55829/29979/1861/79139/84447/201595/55432/55666/51465",16
"GO:0010765","GO:0010765","positive regulation of sodium ion transport","9/1294","35/16672",0.00110433033217134,0.0314488737928348,0.026846205794364,"23678/6446/81/375/23171/3799/2745/11261/1756",9
"GO:0019751","GO:0019751","polyol metabolic process","18/1294","105/16672",0.00113663674727754,0.0321900550637827,0.0274789122328161,"9108/3632/55331/80271/3705/54928/2185/51763/3613/253430/4204/11163/3952/9807/5336/801/805/11165",18
"GO:0019395","GO:0019395","fatty acid oxidation","17/1294","97/16672",0.00119836847715894,0.0334989825598584,0.0285962729739679,"79602/23417/2639/51422/1374/1432/8013/35/5468/5562/3295/2108/51094/3667/3952/8660/2475",17
"GO:0030148","GO:0030148","sphingolipid biosynthetic process","17/1294","97/16672",0.00119836847715894,0.0334989825598584,0.0285962729739679,"64834/55331/9218/2531/9217/53947/94101/5562/91012/3491/8560/142891/30815/166929/253782/5587/201562",17
"GO:0030278","GO:0030278","regulation of ossification","26/1294","177/16672",0.0012024605522852,0.0334989825598584,0.0285962729739679,"2824/51564/3091/7704/1432/2185/4958/54795/658/2201/3491/3570/9249/91461/8313/23051/56975/169200/359845/9241/5587/1435/9260/5167/1052/117581",26
"GO:0032768","GO:0032768","regulation of monooxygenase activity","12/1294","57/16672",0.00121330700608635,0.0336184416929655,0.0286982487869186,"3091/857/4883/2185/2643/2644/23576/115677/2668/3952/801/805",12
"GO:0010675","GO:0010675","regulation of cellular carbohydrate metabolic process","20/1294","123/16672",0.00122810477780012,0.0338455112419539,0.0288920858025756,"6095/10580/23417/2185/57486/10776/55829/51763/2308/51094/1353/6774/3667/5499/114897/3952/8660/5167/2475/5500",20
"GO:0046627","GO:0046627","negative regulation of insulin receptor signaling pathway","8/1294","29/16672",0.00126403623155768,0.0343721790471532,0.0293416736757944,"2844/23189/5791/51763/55022/3667/5970/5167",8
"GO:0010888","GO:0010888","negative regulation of lipid storage","6/1294","17/16672",0.00126677877221238,0.0343721790471532,0.0293416736757944,"51099/4792/7376/5468/3952/57104",6
"GO:0005976","GO:0005976","polysaccharide metabolic process","18/1294","106/16672",0.00127193621631806,0.0343721790471532,0.0293416736757944,"5255/54187/10580/5834/51422/55829/51763/56548/3667/7360/5499/8660/160/5167/801/805/2475/5500",18
"GO:0090132","GO:0090132","epithelium migration","31/1294","225/16672",0.00127403706963697,0.0343721790471532,0.0293416736757944,"51564/3091/28984/9688/3315/10014/6722/11235/8828/2185/5290/3164/6776/14/90627/9475/7057/94/388/5793/80005/6781/51094/7048/57175/5781/147372/5587/7026/340719/2013",31
"GO:0043534","GO:0043534","blood vessel endothelial cell migration","14/1294","73/16672",0.00129544851669092,0.0346886950024201,0.0296118662597409,"51564/28984/3315/10014/6722/11235/2185/3164/6776/90627/7057/94/5587/2013",14
"GO:0019216","GO:0019216","regulation of lipid metabolic process","36/1294","274/16672",0.0012993034413704,0.0346886950024201,0.0296118662597409,"51099/6095/10580/23417/5934/857/51422/1374/5159/22937/8013/2185/94101/7376/5468/5562/5156/5879/5925/3491/375/185/9711/5295/1737/142891/51094/476/3667/57546/6777/3952/57104/8660/2475/12",36
"GO:0030511","GO:0030511","positive regulation of transforming growth factor beta receptor signaling pathway","7/1294","23/16672",0.00135143234924468,0.0355253447293756,0.030326068965237,"28996/8516/7057/7041/6868/10370/3622",7
"GO:0045648","GO:0045648","positive regulation of erythrocyte differentiation","7/1294","23/16672",0.00135143234924468,0.0355253447293756,0.030326068965237,"3091/1432/2309/3624/91/3148/6777",7
"GO:1903846","GO:1903846","positive regulation of cellular response to transforming growth factor beta stimulus","7/1294","23/16672",0.00135143234924468,0.0355253447293756,0.030326068965237,"28996/8516/7057/7041/6868/10370/3622",7
"GO:0071396","GO:0071396","cellular response to lipid","57/1294","490/16672",0.00136722925932272,0.0355342617873415,0.0303336809762365,"5976/5536/57658/9604/7133/55885/639/6095/3717/4792/4793/10014/1374/1432/57088/54206/7128/2309/687/8013/2185/3624/3164/8202/2002/7376/55829/5468/406/26191/9475/79577/10413/5925/7041/4864/27/890/6502/92140/2308/678/55022/114907/6781/476/3148/79155/11214/5970/3952/8322/5187/9282/3297/7026/1902",57
"GO:0045926","GO:0045926","negative regulation of growth","31/1294","226/16672",0.00136967749171371,0.0355342617873415,0.0303336809762365,"79602/2273/79960/9706/5641/3091/58189/604/3624/4502/5468/23111/694/91/84260/94/85407/10500/51094/2487/7048/323/4493/51379/247/9241/4501/123879/5167/4499/6494",31
"GO:0015807","GO:0015807","L-amino acid transport","10/1294","43/16672",0.00137555542314083,0.0355342617873415,0.0303336809762365,"5663/23428/9057/6510/81539/8604/206358/10955/10550/120103",10
"GO:0006069","GO:0006069","ethanol oxidation","5/1294","12/16672",0.00139336453750598,0.0355342617873415,0.0303336809762365,"219/84532/130/125/126",5
"GO:0035358","GO:0035358","regulation of peroxisome proliferator activated receptor signaling pathway","5/1294","12/16672",0.00139336453750598,0.0355342617873415,0.0303336809762365,"55885/10370/171023/3952/247",5
"GO:0071545","GO:0071545","inositol phosphate catabolic process","5/1294","12/16672",0.00139336453750598,0.0355342617873415,0.0303336809762365,"9108/3632/51763/3613/11165",5
"GO:0043255","GO:0043255","regulation of carbohydrate biosynthetic process","15/1294","82/16672",0.00146100301194709,0.0370011976882608,0.0315859249625439,"10580/2185/57486/10776/55829/51763/2308/3667/5499/3952/8660/160/5167/2475/5500",15
"GO:0044723","GO:0044723","single-organism carbohydrate metabolic process","52/1294","439/16672",0.00146795821863668,0.0370011976882608,0.0315859249625439,"9108/5255/3632/6095/54187/10580/3091/5834/23417/54928/51422/1374/4121/1432/8604/80267/2185/5290/57486/10776/55829/5562/51763/3939/3613/1737/2308/51094/30815/8707/467/283310/1353/6774/3667/4204/51181/7360/5499/114897/3952/55526/3418/8660/2526/2760/160/5167/801/805/2475/5500",52
"GO:0032414","GO:0032414","positive regulation of ion transmembrane transporter activity","13/1294","66/16672",0.00147716992407107,0.0370011976882608,0.0315859249625439,"2259/5311/3306/81/7225/783/3799/2745/11261/5336/801/805/1756",13
"GO:0044243","GO:0044243","multicellular organism catabolic process","14/1294","74/16672",0.0014858225796605,0.0370011976882608,0.0315859249625439,"1301/50509/1286/9509/1471/4324/1294/4327/1284/4316/5045/1285/1282/1290",14
"GO:0002064","GO:0002064","epithelial cell development","27/1294","189/16672",0.00149120214273766,0.0370011976882608,0.0315859249625439,"639/6093/3091/1471/688/9688/3551/8985/6009/59/9414/5908/23022/406/3295/9475/5879/10427/54507/51092/196383/4643/6781/10653/25932/57493/91663",27
"GO:0030336","GO:0030336","negative regulation of cell migration","29/1294","208/16672",0.00149419584890167,0.0370011976882608,0.0315859249625439,"7414/28984/23189/23560/10014/6722/11235/6237/90627/7057/1588/94/388/5793/2796/4681/6781/51094/10370/89927/6774/25932/57175/247/10193/9241/7026/4771/104",29
"GO:0043542","GO:0043542","endothelial cell migration","23/1294","152/16672",0.00150658757576435,0.03707081817779,0.0316453562160037,"51564/28984/3315/10014/6722/11235/8828/2185/5290/3164/6776/14/90627/9475/7057/94/388/6781/57175/147372/5587/7026/2013",23
"GO:0034440","GO:0034440","lipid oxidation","17/1294","99/16672",0.00151147112742062,0.03707081817779,0.0316453562160037,"79602/23417/2639/51422/1374/1432/8013/35/5468/5562/3295/2108/51094/3667/3952/8660/2475",17
"GO:0045598","GO:0045598","regulation of fat cell differentiation","18/1294","108/16672",0.00158387127104087,0.0386615435016929,0.0330032725499594,"55885/6095/688/7704/1432/54795/5468/406/6272/2308/678/2487/171023/3952/285590/169200/5167/2475",18
"GO:2001243","GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","16/1294","91/16672",0.00159269145510176,0.0386925895680171,0.0330297749007634,"9709/8531/3091/3315/599/55829/7009/4170/65018/84447/7417/9529/5598/3622/55031/4582",16
"GO:0001937","GO:0001937","negative regulation of endothelial cell proliferation","8/1294","30/16672",0.00160789290069435,0.038736730991204,0.03306745605077,"28984/858/857/11235/7057/94/7498/7026",8
"GO:0007033","GO:0007033","vacuole organization","29/1294","209/16672",0.00160962225929115,0.038736730991204,0.03306745605077,"11345/55062/7251/58476/5663/51100/84557/8406/57617/23673/9525/27183/55858/29979/10228/55654/23325/10241/375/5899/9711/137492/26100/65018/219931/83547/84376/257364/79065",29
"GO:0010828","GO:0010828","positive regulation of glucose transport","10/1294","44/16672",0.0016582823863029,0.0395365372659937,0.0337502074901402,"79602/8218/10580/1432/8013/10776/5295/3667/5781/8660",10
"GO:0046626","GO:0046626","regulation of insulin receptor signaling pathway","10/1294","44/16672",0.0016582823863029,0.0395365372659937,0.0337502074901402,"2844/23189/5791/51763/55022/51094/3667/5970/3952/5167",10
"GO:0034637","GO:0034637","cellular carbohydrate biosynthetic process","14/1294","75/16672",0.00169895816615821,0.0403187942579954,0.0344179780541896,"54187/10580/54928/55829/51763/3613/3667/7360/5499/3952/8660/5167/2475/5500",14
"GO:0045765","GO:0045765","regulation of angiogenesis","29/1294","210/16672",0.00173266340405331,0.040646989698268,0.0346981407839703,"51564/28996/6093/3091/28984/3315/10014/11235/7128/2185/6237/90627/694/9475/1284/7057/94/388/92140/133/23576/861/7048/5598/1285/3952/147372/5587/2013",29
"GO:0044262","GO:0044262","cellular carbohydrate metabolic process","33/1294","249/16672",0.00175067470332808,0.040646989698268,0.0346981407839703,"9108/5255/3632/6095/54187/10580/5834/23417/54928/51422/2185/57486/10776/55829/51763/3613/2308/51094/1353/6774/3667/4204/7360/5499/114897/3952/3418/8660/5167/801/805/2475/5500",33
"GO:0030728","GO:0030728","ovulation","6/1294","18/16672",0.00177641077614689,0.040646989698268,0.0346981407839703,"2309/3624/4327/9510/3625/3952",6
"GO:1902307","GO:1902307","positive regulation of sodium ion transmembrane transport","6/1294","18/16672",0.00177641077614689,0.040646989698268,0.0346981407839703,"81/375/3799/2745/11261/1756",6
"GO:2000146","GO:2000146","negative regulation of cell motility","30/1294","220/16672",0.00177910318469623,0.040646989698268,0.0346981407839703,"7414/28984/23189/23560/10014/6722/11235/6237/90627/7057/1588/94/388/5793/2796/4681/6781/51094/10370/89927/10653/6774/25932/57175/247/10193/9241/7026/4771/104",30
"GO:0006541","GO:0006541","glutamine metabolic process","7/1294","24/16672",0.00178148041101641,0.040646989698268,0.0346981407839703,"56954/2744/9945/2752/2746/4204/1503",7
"GO:0006732","GO:0006732","coenzyme metabolic process","38/1294","299/16672",0.00178633259730634,0.040646989698268,0.0346981407839703,"65220/10157/51071/27430/51660/64834/80347/3091/4522/23417/2639/10135/51422/10965/29914/23597/262/64087/2643/5562/3295/3939/2356/8884/1737/2180/23171/84532/81034/9200/6774/51181/57546/6470/55526/641371/84188/201562",38
"GO:0006637","GO:0006637","acyl-CoA metabolic process","16/1294","92/16672",0.00179208343187838,0.040646989698268,0.0346981407839703,"10157/51660/64834/23417/2639/10965/23597/3295/1737/2180/84532/9200/57546/641371/84188/201562",16
"GO:0035383","GO:0035383","thioester metabolic process","16/1294","92/16672",0.00179208343187838,0.040646989698268,0.0346981407839703,"10157/51660/64834/23417/2639/10965/23597/3295/1737/2180/84532/9200/57546/641371/84188/201562",16
"GO:0044264","GO:0044264","cellular polysaccharide metabolic process","16/1294","92/16672",0.00179208343187838,0.040646989698268,0.0346981407839703,"5255/54187/10580/5834/51422/55829/51763/3667/7360/5499/8660/5167/801/805/2475/5500",16
"GO:0030833","GO:0030833","regulation of actin filament polymerization","22/1294","145/16672",0.00182136988381031,0.0411292600194345,0.0351098289218616,"55604/23189/8936/10096/2185/7408/5879/10097/375/2934/2059/123720/10092/10602/25802/57175/91663/2764/4641/89848/2475/10093",22
"GO:0060986","GO:0060986","endocrine hormone secretion","10/1294","45/16672",0.00198626470700357,0.0446561091583346,0.0381205096353363,"9727/3624/7110/185/80223/3625/114897/3952/8322/5781",10
"GO:0030856","GO:0030856","regulation of epithelial cell differentiation","19/1294","119/16672",0.001997879077494,0.0447210836298437,0.0381759748340268,"6093/3551/857/6009/54206/8202/694/406/9475/10413/94/7498/2487/55273/2668/6777/247/23764/79633",19
"GO:0010506","GO:0010506","regulation of autophagy","34/1294","261/16672",0.00201254069465776,0.0448352490996047,0.0382734317323565,"823/23604/81671/23032/58476/9706/10059/27131/51100/29801/3091/3315/529/5562/26191/10241/4864/27/4170/5899/9711/92140/2308/65018/219931/7855/836/1613/5049/3952/10193/340371/23545/2475",34
"GO:0071902","GO:0071902","positive regulation of protein serine/threonine kinase activity","37/1294","291/16672",0.00202047259890922,0.0448352490996047,0.0382734317323565,"5310/8491/5606/5663/4616/28984/54757/1432/896/5159/11235/2043/5311/2185/3306/5562/51347/29969/10253/7057/1847/5899/6868/2180/7855/57018/5604/11214/8322/8325/5781/4217/1902/801/805/3672/81669",37
"GO:0001667","GO:0001667","ameboidal-type cell migration","40/1294","322/16672",0.00210184557190213,0.0460543914618911,0.0393141477518289,"51564/3091/28984/9688/3315/7763/10014/6722/11235/8828/2185/5290/3164/6776/14/10487/90627/9475/79899/91/5879/7057/94/8394/10500/388/5793/2768/80005/6781/51094/7048/2668/57175/5781/147372/5587/7026/340719/2013",40
"GO:0043467","GO:0043467","regulation of generation of precursor metabolites and energy","15/1294","85/16672",0.00211877470953295,0.0460543914618911,0.0393141477518289,"10580/3091/51422/5290/55829/5562/51763/65018/6774/3667/5499/8660/5167/2475/5500",15
"GO:0010801","GO:0010801","negative regulation of peptidyl-threonine phosphorylation","5/1294","13/16672",0.00212033483905702,0.0460543914618911,0.0393141477518289,"51763/10253/200734/801/805",5
"GO:0046325","GO:0046325","negative regulation of glucose import","5/1294","13/16672",0.00212033483905702,0.0460543914618911,0.0393141477518289,"55829/5562/55022/3952/5167",5
"GO:2000651","GO:2000651","positive regulation of sodium ion transmembrane transporter activity","5/1294","13/16672",0.00212033483905702,0.0460543914618911,0.0393141477518289,"81/3799/2745/11261/1756",5
"GO:0018107","GO:0018107","peptidyl-threonine phosphorylation","14/1294","77/16672",0.0022018010060193,0.0470428249799121,0.0401579200857332,"28996/51422/10114/51763/91/10253/7225/9730/7048/9943/200734/801/805/2475",14
"GO:0030038","GO:0030038","contractile actin filament bundle assembly","14/1294","77/16672",0.0022018010060193,0.0470428249799121,0.0401579200857332,"6093/55604/10580/28984/6722/2185/51763/9475/5879/5295/7791/4771/1902/2475",14
"GO:0043149","GO:0043149","stress fiber assembly","14/1294","77/16672",0.0022018010060193,0.0470428249799121,0.0401579200857332,"6093/55604/10580/28984/6722/2185/51763/9475/5879/5295/7791/4771/1902/2475",14
"GO:0009108","GO:0009108","coenzyme biosynthetic process","21/1294","138/16672",0.00220255130612152,0.0470428249799121,0.0401579200857332,"65220/27430/51660/64834/80347/4522/23417/2639/10135/10965/29914/23597/2643/2356/1737/2180/84532/9200/57546/641371/201562",21
"GO:0043666","GO:0043666","regulation of phosphoprotein phosphatase activity","12/1294","61/16672",0.00224204545777762,0.0472343761916681,0.0403214370143468,"4659/6093/9891/3717/3551/5159/10776/9475/23141/801/805/3672",12
"GO:0002062","GO:0002062","chondrocyte differentiation","16/1294","94/16672",0.00225390059388182,0.0472343761916681,0.0403214370143468,"1301/54928/7704/1432/4209/6660/11173/658/94/861/91461/7048/8313/5970/64764/359845",16
"GO:0016055","GO:0016055","Wnt signaling pathway","54/1294","469/16672",0.00225679123569955,0.0472343761916681,0.0403214370143468,"57658/54764/10979/2239/79960/5663/5705/9209/5714/5713/166/857/23189/1432/51421/2309/54795/10197/5562/406/8932/79577/29969/5879/4609/10413/7041/85407/5686/85409/10146/2308/147495/1896/2487/7855/166336/8323/51704/1613/8313/284654/5499/8322/8325/169200/25987/9241/7088/160/5336/801/805/2869",54
"GO:0051403","GO:0051403","stress-activated MAPK cascade","32/1294","243/16672",0.00225689946691552,0.0472343761916681,0.0403214370143468,"8491/28996/4616/3551/1326/1845/10114/1432/11235/2043/2185/26191/51347/29969/4609/3480/10550/2308/7498/65018/7855/79155/5604/90441/3952/8322/8325/5187/64853/4217/4215/1147",32
"GO:0010632","GO:0010632","regulation of epithelial cell migration","24/1294","166/16672",0.00225759308758461,0.0472343761916681,0.0403214370143468,"51564/3091/28984/3315/10014/11235/8828/2185/6776/14/90627/9475/7057/94/388/5793/80005/6781/51094/7048/147372/5587/7026/2013",24
"GO:0048608","GO:0048608","reproductive structure development","48/1294","406/16672",0.00227325549770485,0.0473687304115246,0.0404361279587465,"5310/10046/639/8531/51665/10272/11144/3091/1471/10049/1432/79084/2309/5311/3624/4327/599/5468/3295/5156/9394/1588/658/3491/151449/7110/2796/133/9510/57728/6781/3625/7855/25976/3148/10370/10653/3622/5604/6777/3952/8322/5781/247/9241/3297/7026/283",48
"GO:0036474","GO:0036474","cell death in response to hydrogen peroxide","7/1294","25/16672",0.00231055043158948,0.0479509372968733,0.0409331265464201,"9688/11235/2309/8013/65018/2861/5074",7
"GO:0046395","GO:0046395","carboxylic acid catabolic process","27/1294","195/16672",0.00235828141726315,0.0486477090012138,0.0415279229353032,"10157/56922/3991/5625/23464/2639/1374/2744/4329/35/64087/3295/23175/2752/2108/2746/23576/8659/875/10999/3667/51181/3952/6470/18/8660/2475",27
"GO:0198738","GO:0198738","cell-cell signaling by wnt","54/1294","470/16672",0.00236310564598171,0.0486477090012138,0.0415279229353032,"57658/54764/10979/2239/79960/5663/5705/9209/5714/5713/166/857/23189/1432/51421/2309/54795/10197/5562/406/8932/79577/29969/5879/4609/10413/7041/85407/5686/85409/10146/2308/147495/1896/2487/7855/166336/8323/51704/1613/8313/284654/5499/8322/8325/169200/25987/9241/7088/160/5336/801/805/2869",54
"GO:1904019","GO:1904019","epithelial cell apoptotic process","15/1294","86/16672",0.0023863256842809,0.0489292218304956,0.0417682352402346,"3717/28984/7128/2309/6272/7057/5925/2934/831/7048/5598/79155/1285/4217/2475",15
"GO:0006907","GO:0006907","pinocytosis","6/1294","19/16672",0.00242748142077944,0.0493780546147437,0.0421513795579789,"55604/27131/857/81/7376/257364",6
"GO:0032332","GO:0032332","positive regulation of chondrocyte differentiation","6/1294","19/16672",0.00242748142077944,0.0493780546147437,0.0421513795579789,"7704/6660/658/94/91461/5970",6
"GO:0044282","GO:0044282","small molecule catabolic process","41/1294","335/16672",0.00245551941399561,0.0497509585618242,0.0424697075264396,"9108/10157/3632/8578/56922/3991/5019/5625/23464/587/2639/1374/2744/1491/4329/35/79644/64087/51763/3295/23175/2752/219/2108/3613/2746/23576/8659/875/622/10999/3667/51181/3952/6470/18/8660/2526/131870/2475/11165",41
